datestamp,co2
02/05/1970,327.9
09/05/1970,327.5
16/05/1970,328
23/05/1970,328.3
30/05/1970,327.9
06/06/1970,327.5
13/06/1970,327.8
20/06/1970,327.7
27/06/1970,327.2
04/07/1970,327.2
11/07/1970,326.2
18/07/1970,326.2
25/07/1970,325.6
01/08/1970,325.2
08/08/1970,325.2
15/08/1970,324.8
22/08/1970,324.8
29/08/1970,323.3
05/09/1970,322.9
12/09/1970,323.5
19/09/1970,323.1
26/09/1970,323.1
03/10/1970,323.2
10/10/1970,323.5
17/10/1970,322.9
24/10/1970,323
31/10/1970,323.1
07/11/1970,323.6
14/11/1970,323.7
21/11/1970,324.2
28/11/1970,324.7
05/12/1970,324.7
12/12/1970,325
19/12/1970,325.2
26/12/1970,325.5
02/01/1971,325.7
09/01/1971,325.8
16/01/1971,325.9
23/01/1971,326.7
30/01/1971,326.6
06/02/1971,326.5
13/02/1971,326.4
20/02/1971,326.7
27/02/1971,327
06/03/1971,327.1
13/03/1971,327.3
20/03/1971,327
27/03/1971,327.4
03/04/1971,327.4
10/04/1971,327.1
17/04/1971,327.7
24/04/1971,328.5
01/05/1971,328.2
08/05/1971,329
15/05/1971,329.2
22/05/1971,328.9
29/05/1971,328.8
05/06/1971,328.5
12/06/1971,328.8
19/06/1971,328.1
26/06/1971,328.5
03/07/1971,327.9
10/07/1971,327.8
17/07/1971,327.5
24/07/1971,326.2
31/07/1971,326.7
07/08/1971,326.1
14/08/1971,325.6
21/08/1971,325.3
28/08/1971,324
04/09/1971,323.6
11/09/1971,323.5
18/09/1971,323.2
25/09/1971,323.3
02/10/1971,323.3
09/10/1971,322.9
16/10/1971,323.5
23/10/1971,323.6
30/10/1971,324.4
06/11/1971,324.3
13/11/1971,324.5
20/11/1971,325
27/11/1971,325.5
04/12/1971,325.3
11/12/1971,325.9
18/12/1971,326.2
25/12/1971,326.3
01/01/1972,326.6
08/01/1972,326.6
15/01/1972,326.6
22/01/1972,326.6
29/01/1972,327.2
05/02/1972,327.4
12/02/1972,327.9
19/02/1972,327.8
26/02/1972,327.4
04/03/1972,327.5
11/03/1972,327.1
18/03/1972,327.7
25/03/1972,328.6
01/04/1972,328.9
08/04/1972,329.4
15/04/1972,329.8
22/04/1972,330.1
29/04/1972,330
06/05/1972,330
13/05/1972,329.7
20/05/1972,330.1
27/05/1972,330.2
03/06/1972,329.7
10/06/1972,329.1
17/06/1972,329
24/06/1972,328.5
01/07/1972,328.6
08/07/1972,328.3
15/07/1972,327.7
22/07/1972,328.1
29/07/1972,327.5
05/08/1972,326.9
12/08/1972,326.6
19/08/1972,326.5
26/08/1972,325
02/09/1972,325.4
09/09/1972,325.7
16/09/1972,324.8
23/09/1972,324.2
30/09/1972,324.2
07/10/1972,324.8
14/10/1972,325.5
21/10/1972,325.1
28/10/1972,325.8
04/11/1972,326.3
11/11/1972,326.1
18/11/1972,326.4
25/11/1972,326.9
02/12/1972,326.9
09/12/1972,327.1
16/12/1972,327.6
23/12/1972,327.9
30/12/1972,328.2
06/01/1973,328.4
13/01/1973,328.4
20/01/1973,328.6
27/01/1973,328.8
03/02/1973,329.1
10/02/1973,329.5
17/02/1973,329.6
24/02/1973,329.7
03/03/1973,329.9
10/03/1973,330.1
17/03/1973,330.5
24/03/1973,330.8
31/03/1973,330.6
07/04/1973,331.2
14/04/1973,331.1
21/04/1973,331.9
28/04/1973,332.1
05/05/1973,332.2
12/05/1973,332.3
19/05/1973,332.6
26/05/1973,332.5
02/06/1973,332.2
09/06/1973,332.5
16/06/1973,332
23/06/1973,331.6
30/06/1973,331.4
07/07/1973,331.5
14/07/1973,331
21/07/1973,330
28/07/1973,330.1
04/08/1973,330
11/08/1973,329.5
18/08/1973,329.3
25/08/1973,328.5
01/09/1973,328.4
08/09/1973,327.6
15/09/1973,327.8
22/09/1973,327.1
29/09/1973,326.6
06/10/1973,327
13/10/1973,327.4
20/10/1973,327.4
27/10/1973,327.1
03/11/1973,327.5
10/11/1973,328
17/11/1973,328.2
24/11/1973,328.5
01/12/1973,329
08/12/1973,328.7
15/12/1973,328.6
22/12/1973,328.2
29/12/1973,328.7
05/01/1974,328.9
12/01/1974,329.2
19/01/1974,329.4
26/01/1974,329.8
02/02/1974,330.5
09/02/1974,330.8
16/02/1974,330.6
23/02/1974,330.6
02/03/1974,330.7
09/03/1974,331.2
16/03/1974,332.1
23/03/1974,332
30/03/1974,331.5
06/04/1974,332.4
13/04/1974,332.1
20/04/1974,332.9
27/04/1974,333.1
04/05/1974,332.9
11/05/1974,333
18/05/1974,333.2
25/05/1974,332.8
01/06/1974,332.9
08/06/1974,332
15/06/1974,332
22/06/1974,332.2
29/06/1974,331.7
06/07/1974,331.7
13/07/1974,331.2
20/07/1974,330.4
27/07/1974,331
03/08/1974,330
10/08/1974,329.9
17/08/1974,329.2
24/08/1974,328.9
31/08/1974,328.1
07/09/1974,328
14/09/1974,327.3
21/09/1974,326.9
28/09/1974,327.3
05/10/1974,327.3
12/10/1974,327
19/10/1974,327.5
26/10/1974,327.7
02/11/1974,327.9
09/11/1974,328
16/11/1974,328.8
23/11/1974,328.6
30/11/1974,328.7
07/12/1974,329.5
14/12/1974,329.7
21/12/1974,329.8
28/12/1974,329.7
04/01/1975,329.9
11/01/1975,329.8
18/01/1975,330.2
25/01/1975,331.1
01/02/1975,331.1
08/02/1975,331.4
15/02/1975,331
22/02/1975,331.7
01/03/1975,331.8
08/03/1975,331.6
15/03/1975,331.9
22/03/1975,332.2
29/03/1975,332.5
05/04/1975,333
12/04/1975,333.5
19/04/1975,333.5
26/04/1975,333.1
03/05/1975,333.9
10/05/1975,333.9
17/05/1975,333.7
24/05/1975,333.7
31/05/1975,334.1
07/06/1975,333.8
14/06/1975,333.3
21/06/1975,333.4
28/06/1975,333.1
05/07/1975,332.7
12/07/1975,332
19/07/1975,331
26/07/1975,331.5
02/08/1975,330.8
09/08/1975,330.7
16/08/1975,330.3
23/08/1975,329.3
30/08/1975,328.8
06/09/1975,329.4
13/09/1975,328.5
20/09/1975,328
27/09/1975,328.2
04/10/1975,328
11/10/1975,328
18/10/1975,328.5
25/10/1975,328.8
01/11/1975,329.3
08/11/1975,329.2
15/11/1975,329.1
22/11/1975,329.5
29/11/1975,330.1
06/12/1975,330.3
13/12/1975,330.5
20/12/1975,331.1
27/12/1975,331.2
03/01/1976,331.5
10/01/1976,331.5
17/01/1976,331.7
24/01/1976,331.8
31/01/1976,332.2
07/02/1976,332.1
14/02/1976,332.5
21/02/1976,333.2
28/02/1976,332.4
06/03/1976,332.8
13/03/1976,333.6
20/03/1976,333.1
27/03/1976,334.3
03/04/1976,334.7
10/04/1976,334.2
17/04/1976,334.4
24/04/1976,334.5
01/05/1976,334.7
08/05/1976,334.3
15/05/1976,334.6
22/05/1976,335.4
29/05/1976,334.8
05/06/1976,334.3
12/06/1976,334.6
19/06/1976,334.3
26/06/1976,
03/07/1976,333.6
10/07/1976,333.4
17/07/1976,332.8
24/07/1976,332.4
31/07/1976,332.1
07/08/1976,331.7
14/08/1976,330.6
21/08/1976,330.6
28/08/1976,330
04/09/1976,329.7
11/09/1976,330
18/09/1976,329.3
25/09/1976,328.4
02/10/1976,328.8
09/10/1976,329
16/10/1976,329.6
23/10/1976,329.1
30/10/1976,329
06/11/1976,329.8
13/11/1976,330.4
20/11/1976,330.5
27/11/1976,330.7
04/12/1976,331.1
11/12/1976,331.3
18/12/1976,331.9
25/12/1976,332.2
01/01/1977,332.5
08/01/1977,332.4
15/01/1977,333.1
22/01/1977,333.2
29/01/1977,333.2
05/02/1977,333.4
12/02/1977,333.3
19/02/1977,333.4
26/02/1977,333.6
05/03/1977,334.1
12/03/1977,334.6
19/03/1977,335.1
26/03/1977,335
02/04/1977,335.5
09/04/1977,335.9
16/04/1977,336
23/04/1977,336.1
30/04/1977,336.7
07/05/1977,336.8
14/05/1977,336.4
21/05/1977,336.8
28/05/1977,336.7
04/06/1977,336.4
11/06/1977,336.3
18/06/1977,336.1
25/06/1977,336
02/07/1977,335.5
09/07/1977,335.1
16/07/1977,335.1
23/07/1977,334.6
30/07/1977,333.7
06/08/1977,333
13/08/1977,332.9
20/08/1977,332.8
27/08/1977,332.8
03/09/1977,332.1
10/09/1977,331.2
17/09/1977,332.1
24/09/1977,330.9
01/10/1977,330.4
08/10/1977,330.9
15/10/1977,331.5
22/10/1977,331.5
29/10/1977,331.7
05/11/1977,332.1
12/11/1977,332
19/11/1977,332.5
26/11/1977,332.8
03/12/1977,333.2
10/12/1977,333.5
17/12/1977,333.8
24/12/1977,334.2
31/12/1977,334.6
07/01/1978,334.2
14/01/1978,334.6
21/01/1978,335.4
28/01/1978,335.9
04/02/1978,335
11/02/1978,335.1
18/02/1978,335.6
25/02/1978,335.7
04/03/1978,336.2
11/03/1978,336.1
18/03/1978,336.8
25/03/1978,337.3
01/04/1978,337
08/04/1978,337.9
15/04/1978,337.9
22/04/1978,337.4
29/04/1978,338
06/05/1978,338
13/05/1978,338.1
20/05/1978,337.8
27/05/1978,337.9
03/06/1978,338.4
10/06/1978,338.2
17/06/1978,337.8
24/06/1978,337.3
01/07/1978,337.6
08/07/1978,336.7
15/07/1978,336.7
22/07/1978,335.9
29/07/1978,335.6
05/08/1978,335.1
12/08/1978,334.8
19/08/1978,334.4
26/08/1978,334.3
02/09/1978,333.8
09/09/1978,332.8
16/09/1978,332.1
23/09/1978,332.3
30/09/1978,332.7
07/10/1978,332.1
14/10/1978,332.4
21/10/1978,333
28/10/1978,333.1
04/11/1978,333.5
11/11/1978,333.8
18/11/1978,333.8
25/11/1978,334.2
02/12/1978,334.5
09/12/1978,334.8
16/12/1978,335.1
23/12/1978,335.1
30/12/1978,335.3
06/01/1979,335.3
13/01/1979,335.9
20/01/1979,336.8
27/01/1979,336.9
03/02/1979,336.9
10/02/1979,336.5
17/02/1979,336.7
24/02/1979,336.7
03/03/1979,337.1
10/03/1979,337.7
17/03/1979,337.4
24/03/1979,339
31/03/1979,338.8
07/04/1979,338.1
14/04/1979,338.6
21/04/1979,339.2
28/04/1979,339.6
05/05/1979,339.3
12/05/1979,338.8
19/05/1979,339.8
26/05/1979,339.6
02/06/1979,339.9
09/06/1979,339.5
16/06/1979,338.9
23/06/1979,338.9
30/06/1979,339
07/07/1979,338.2
14/07/1979,337.8
21/07/1979,337.3
28/07/1979,336.8
04/08/1979,337
11/08/1979,336.5
18/08/1979,336.1
25/08/1979,334.5
01/09/1979,334.4
08/09/1979,334
15/09/1979,334.2
22/09/1979,333.2
29/09/1979,334.1
06/10/1979,334.1
13/10/1979,333.9
20/10/1979,333.7
27/10/1979,334.1
03/11/1979,334.7
10/11/1979,334.8
17/11/1979,335.5
24/11/1979,335.6
01/12/1979,335.9
08/12/1979,336.5
15/12/1979,336.7
22/12/1979,336.8
29/12/1979,337.4
05/01/1980,337.6
12/01/1980,337.4
19/01/1980,338.3
26/01/1980,338.4
02/02/1980,338
09/02/1980,338.1
16/02/1980,338.6
23/02/1980,338.2
01/03/1980,339.3
08/03/1980,339.5
15/03/1980,340
22/03/1980,340.5
29/03/1980,341
05/04/1980,340.4
12/04/1980,340.9
19/04/1980,340.7
26/04/1980,341
03/05/1980,341.5
10/05/1980,341.3
17/05/1980,341.3
24/05/1980,340.9
31/05/1980,341.7
07/06/1980,341.3
14/06/1980,341.3
21/06/1980,340.8
28/06/1980,340.4
05/07/1980,340.4
12/07/1980,339.7
19/07/1980,338.5
26/07/1980,338.9
02/08/1980,337.9
09/08/1980,337.7
16/08/1980,337.7
23/08/1980,337.7
30/08/1980,337
06/09/1980,336.6
13/09/1980,335.7
20/09/1980,335.2
27/09/1980,336
04/10/1980,335.8
11/10/1980,335.8
18/10/1980,336.1
25/10/1980,336.4
01/11/1980,336.6
08/11/1980,336.9
15/11/1980,337.1
22/11/1980,337.3
29/11/1980,337.4
06/12/1980,337.7
13/12/1980,338.1
20/12/1980,338.3
27/12/1980,338.7
03/01/1981,338.9
10/01/1981,339.1
17/01/1981,339.3
24/01/1981,339.3
31/01/1981,339.5
07/02/1981,340.5
14/02/1981,340
21/02/1981,340.2
28/02/1981,341.1
07/03/1981,340.7
14/03/1981,341
21/03/1981,341.8
28/03/1981,342.1
04/04/1981,342.4
11/04/1981,342.4
18/04/1981,342.7
25/04/1981,342.3
02/05/1981,342.9
09/05/1981,343
16/05/1981,342.8
23/05/1981,342.7
30/05/1981,342.7
06/06/1981,342.6
13/06/1981,342.5
20/06/1981,341.8
27/06/1981,341.6
04/07/1981,341
11/07/1981,340.8
18/07/1981,339.7
25/07/1981,340.2
01/08/1981,339.5
08/08/1981,338.9
15/08/1981,338.4
22/08/1981,337.5
29/08/1981,337.7
05/09/1981,337.2
12/09/1981,337
19/09/1981,336.7
26/09/1981,335.9
03/10/1981,336.3
10/10/1981,336.6
17/10/1981,337.1
24/10/1981,337.2
31/10/1981,337.5
07/11/1981,337.8
14/11/1981,338.1
21/11/1981,338.5
28/11/1981,339.3
05/12/1981,339.2
12/12/1981,339.4
19/12/1981,339.6
26/12/1981,340.2
02/01/1982,340.2
09/01/1982,340.3
16/01/1982,340.7
23/01/1982,341.1
30/01/1982,341.2
06/02/1982,341.9
13/02/1982,341.1
20/02/1982,341.1
27/02/1982,342.1
06/03/1982,342.6
13/03/1982,342.6
20/03/1982,342.7
27/03/1982,342.8
03/04/1982,342.9
10/04/1982,343.3
17/04/1982,343.5
24/04/1982,344.2
01/05/1982,343.8
08/05/1982,343.6
15/05/1982,344.2
22/05/1982,344.1
29/05/1982,344.1
05/06/1982,343.4
12/06/1982,343.5
19/06/1982,343.4
26/06/1982,342.9
03/07/1982,342.5
10/07/1982,342
17/07/1982,342
24/07/1982,341.8
31/07/1982,341.3
07/08/1982,340.5
14/08/1982,340
21/08/1982,339.7
28/08/1982,338.3
04/09/1982,338.8
11/09/1982,338.6
18/09/1982,337.8
25/09/1982,336.9
02/10/1982,337.3
09/10/1982,338
16/10/1982,337.6
23/10/1982,337.9
30/10/1982,338.7
06/11/1982,338.4
13/11/1982,339.2
20/11/1982,339.7
27/11/1982,339.8
04/12/1982,339.8
11/12/1982,340.4
18/12/1982,340.7
25/12/1982,340.8
01/01/1983,340.9
08/01/1983,341.4
15/01/1983,341.5
22/01/1983,341.2
29/01/1983,341.7
05/02/1983,342
12/02/1983,342.7
19/02/1983,342.5
26/02/1983,342.8
05/03/1983,342.3
12/03/1983,342.5
19/03/1983,344
26/03/1983,343.8
02/04/1983,344
09/04/1983,344.8
16/04/1983,345
23/04/1983,345.3
30/04/1983,345.4
07/05/1983,345.4
