Age of car,Age of Policy Holder,Type of Fuel,Number of Airbags,Is adjustable staring present,Parking Camera present,Type of brakes in the rear,Engine displacement,Transmission type of the car,Number of gears,Type of power steering,Brake assistant present,is Driver seat height adjustable,day & night rearview mirror is present,speed alert system present,Was the file claimed?,Numnber of other cars in the household,Is the holder a home owner
3,46,Hybrid,2,No,No,Drum,998,Manual,5,Power,No,No,No,Yes,No,0,Yes
3,,Hybrid,1,No,No,Drum,1196,Manual,5,Manual,,,,Yes,No,2,No
4,46,,6,,,,1493,Automatic,6,,Yes,Yes,No,Yes,No,1,No
3,41,Petrol,2,Yes,Yes,Drum,1197,Automatic,5,Electric,Yes,Yes,Yes,Yes,No,3,Yes
0,52,Hybrid,2,No,No,Drum,796,Manual,5,Power,No,No,No,Yes,No,3,Yes
3,53,Diesel,6,Yes,Yes,Disc,1493,Automatic,6,Power,Yes,Yes,No,Yes,No,0,No
0,40,Diesel,6,Yes,Yes,Disc,1493,Automatic,6,Power,Yes,Yes,No,Yes,No,2,No
3,42,Petrol,2,Yes,No,Drum,1197,Manual,,Electric,Yes,Yes,Yes,Yes,No,2,No
3,43,Diesel,2,Yes,No,Drum,1497,Manual,5,Electric,No,No,No,Yes,No,3,No
1,46,Hybrid,2,No,No,Drum,796,Manual,5,Power,No,No,No,Yes,No,1,Yes
3,52,Petrol,2,Yes,No,Drum,1197,Manual,5,Electric,Yes,Yes,Yes,Yes,No,1,No
1,50,Petrol,6,Yes,Yes,Drum,1197,Automatic,5,Electric,Yes,Yes,Yes,Yes,No,4,No
1,35,Hybrid,2,No,No,Drum,796,Manual,5,Power,No,No,No,Yes,No,3,No
0,39,Petrol,6,Yes,Yes,Drum,1197,Automatic,5,Electric,Yes,Yes,Yes,Yes,No,0,No
5,45,,2,No,Yes,Drum,,Automatic,5,Electric,No,,,,No,2,No
5,53,Diesel,6,Yes,Yes,Disc,1493,Automatic,6,Power,Yes,Yes,No,Yes,No,2,No
0,38,Hybrid,2,No,No,Drum,796,Manual,5,Power,No,No,No,Yes,No,1,No
3,51,,2,,No,Drum,796,,5,Power,,No,,Yes,No,0,
1,52,Diesel,6,Yes,Yes,Disc,1493,Automatic,6,Power,Yes,Yes,No,Yes,No,4,Yes
0,64,Diesel,6,Yes,Yes,Disc,1493,Automatic,6,Power,Yes,Yes,No,Yes,No,3,Yes
0,44,Petrol,2,Yes,No,Drum,1197,Manual,5,Electric,Yes,Yes,Yes,Yes,No,1,Yes
1,35,Diesel,6,Yes,Yes,Disc,1493,Automatic,6,Power,Yes,Yes,No,Yes,No,0,No
3,38,Diesel,6,Yes,Yes,Disc,1493,Automatic,6,Power,Yes,Yes,No,Yes,No,1,No
3,38,Petrol,2,Yes,No,Drum,1197,Manual,5,Electric,Yes,Yes,Yes,Yes,No,3,No
4,39,Petrol,2,Yes,No,Drum,1197,Manual,5,Electric,Yes,Yes,Yes,Yes,No,3,No
3,43,Petrol,2,Yes,No,Drum,1197,Manual,5,Electric,Yes,Yes,Yes,Yes,No,0,Yes
0,38,Petrol,2,Yes,No,Drum,1197,Manual,5,Electric,Yes,Yes,Yes,Yes,No,2,No
3,46,Petrol,2,Yes,No,Drum,1197,Manual,5,Electric,Yes,Yes,Yes,Yes,No,4,Yes
0,52,Diesel,6,Yes,Yes,Disc,1493,Automatic,6,Power,Yes,Yes,No,Yes,No,1,Yes
1,38,Hybrid,2,No,No,Drum,998,Manual,5,Power,No,No,No,Yes,No,1,Yes
1,40,Hybrid,2,No,No,Drum,796,Manual,5,Power,No,No,No,Yes,No,4,No
0,42,Petrol,2,Yes,No,Drum,1197,Manual,5,Electric,Yes,Yes,Yes,Yes,No,2,Yes
0,40,Hybrid,2,No,No,Drum,998,Manual,5,Power,No,No,No,Yes,No,3,No
3,45,Diesel,6,Yes,Yes,Disc,1493,Automatic,6,Power,Yes,Yes,No,Yes,No,4,Yes
2,45,Petrol,2,Yes,Yes,Drum,1197,Automatic,5,Electric,Yes,Yes,Yes,Yes,Yes,4,No
3,63,Petrol,2,Yes,No,Drum,1197,Manual,5,Electric,Yes,Yes,Yes,Yes,No,0,Yes
0,35,Hybrid,2,No,No,Drum,796,Manual,5,Power,No,No,No,Yes,No,3,Yes
6,54,Diesel,6,Yes,Yes,Disc,1493,Automatic,6,Power,Yes,Yes,No,Yes,No,4,No
0,45,Petrol,2,Yes,No,Drum,1197,Manual,5,Electric,Yes,Yes,Yes,Yes,No,2,No
0,58,Diesel,6,Yes,Yes,Disc,1493,Automatic,6,Power,Yes,Yes,No,Yes,No,0,No
1,36,Hybrid,2,No,No,Drum,998,Manual,5,Power,No,No,No,Yes,No,3,No
4,43,Petrol,2,Yes,No,Drum,1197,Manual,5,Electric,Yes,Yes,Yes,Yes,No,3,No
0,43,Petrol,6,Yes,Yes,Drum,1197,Automatic,,Electric,Yes,Yes,Yes,Yes,No,0,No
0,45,Petrol,2,Yes,No,Drum,1197,Manual,5,Electric,Yes,Yes,Yes,Yes,No,4,Yes
0,45,Hybrid,2,No,No,Drum,796,Manual,5,Power,No,No,No,Yes,No,2,Yes
3,49,Petrol,2,Yes,No,Drum,1197,Manual,5,Electric,Yes,Yes,Yes,Yes,Yes,1,Yes
0,46,Diesel,2,Yes,Yes,Drum,1498,Manual,5,Electric,No,Yes,Yes,Yes,No,4,Yes
2,48,Petrol,2,Yes,No,Drum,1197,Manual,5,Electric,Yes,Yes,Yes,Yes,Yes,1,Yes
0,38,Hybrid,2,No,No,Drum,796,Manual,5,Power,No,No,No,Yes,Yes,2,No
4,50,Petrol,2,Yes,No,Drum,1197,Manual,5,Electric,Yes,Yes,Yes,Yes,No,4,No
3,42,Diesel,6,Yes,Yes,Disc,1493,Automatic,6,Power,Yes,Yes,No,Yes,No,0,Yes
2,39,Diesel,6,Yes,Yes,Disc,1493,Automatic,6,Power,Yes,Yes,No,Yes,No,0,No
6,42,Petrol,2,Yes,No,Drum,1197,Manual,5,Electric,Yes,Yes,Yes,Yes,No,4,Yes
0,36,Diesel,6,Yes,Yes,Disc,1493,Automatic,6,Power,Yes,Yes,No,Yes,No,0,No
0,35,Hybrid,2,No,No,Drum,796,Manual,5,Power,No,No,No,Yes,Yes,1,Yes
0,49,Hybrid,2,No,No,Drum,796,Manual,5,Power,No,No,No,Yes,No,0,Yes
0,42,Hybrid,2,No,No,Drum,796,Manual,5,Power,No,No,No,Yes,No,0,No
0,41,Hybrid,2,No,No,Drum,796,Manual,5,Power,No,No,No,Yes,No,2,No
0,53,Hybrid,2,No,No,Drum,796,Manual,5,Power,No,No,No,Yes,No,3,No
0,51,Diesel,6,Yes,Yes,Disc,1493,Automatic,6,Power,Yes,Yes,No,Yes,No,1,Yes
0,37,Petrol,2,No,Yes,Drum,999,Automatic,5,Electric,No,No,Yes,Yes,No,2,Yes
1,36,Petrol,2,Yes,No,Drum,1197,Manual,5,Electric,Yes,Yes,Yes,Yes,No,3,No
1,43,Petrol,2,Yes,No,Drum,1197,Manual,5,Electric,Yes,Yes,Yes,Yes,No,2,Yes
3,43,Diesel,6,Yes,Yes,Disc,1493,Automatic,6,Power,Yes,Yes,No,Yes,No,3,No
2,35,Diesel,6,Yes,Yes,Disc,1493,Automatic,6,Power,Yes,Yes,No,Yes,No,3,Yes
3,49,Diesel,2,Yes,No,Drum,1497,Manual,5,Electric,No,No,No,Yes,No,2,Yes
1,39,Petrol,2,Yes,No,Drum,1197,Manual,5,Electric,Yes,Yes,Yes,Yes,No,4,No
3,35,Petrol,6,Yes,Yes,Drum,1197,Automatic,5,Electric,Yes,Yes,Yes,Yes,No,3,No
0,36,Hybrid,2,No,No,Drum,998,Manual,5,Power,No,No,No,Yes,No,2,No
3,60,Diesel,6,Yes,Yes,Disc,1493,Automatic,6,Power,Yes,Yes,No,Yes,No,2,No
0,41,Petrol,2,Yes,No,Drum,1197,Manual,5,Electric,Yes,Yes,Yes,Yes,No,4,No
0,42,Hybrid,2,No,No,Drum,796,Manual,5,Power,No,No,No,Yes,No,4,Yes
1,38,Hybrid,2,No,No,Drum,998,Manual,5,Power,No,No,No,Yes,No,3,No
1,46,Petrol,2,Yes,No,Drum,1197,Manual,5,Electric,Yes,Yes,Yes,Yes,No,2,No
3,48,Hybrid,2,No,No,Drum,998,Manual,5,Power,No,No,No,Yes,No,3,Yes
3,41,Diesel,6,Yes,Yes,Disc,1493,Automatic,6,Power,Yes,Yes,No,Yes,No,2,Yes
1,52,Petrol,2,No,Yes,Drum,999,Automatic,5,Electric,No,No,Yes,Yes,No,3,No
0,61,Hybrid,2,No,No,Drum,796,Manual,5,Power,No,No,No,Yes,No,3,No
0,41,Hybrid,2,No,No,Drum,796,Manual,,Power,No,No,No,Yes,No,2,No
2,58,Petrol,2,Yes,No,Drum,1197,Manual,5,Electric,Yes,Yes,Yes,Yes,No,0,No
0,36,Diesel,6,Yes,Yes,Disc,1493,Automatic,6,Power,Yes,Yes,No,Yes,No,2,Yes
2,38,Diesel,2,Yes,Yes,Drum,1498,Manual,5,Electric,No,Yes,Yes,Yes,No,2,No
3,39,Diesel,6,Yes,Yes,Disc,1493,Automatic,6,Power,Yes,Yes,No,Yes,No,4,Yes
0,43,Petrol,2,Yes,No,Drum,1197,Manual,5,Electric,Yes,Yes,Yes,Yes,Yes,2,No
0,39,Petrol,2,Yes,Yes,Drum,1197,Automatic,5,Electric,Yes,Yes,Yes,Yes,No,1,No
1,42,Petrol,2,Yes,No,Drum,1197,Manual,5,Electric,Yes,Yes,Yes,Yes,No,0,No
1,58,Petrol,6,Yes,Yes,Drum,1197,Automatic,5,Electric,Yes,Yes,Yes,Yes,No,0,Yes
2,53,Petrol,2,Yes,No,Drum,1197,Manual,5,Electric,Yes,Yes,Yes,Yes,No,2,No
2,52,Hybrid,1,No,No,Drum,1196,Manual,5,Manual,No,No,No,Yes,No,1,Yes
0,45,Hybrid,2,No,No,Drum,796,Manual,5,Power,No,No,No,Yes,No,2,No
0,47,Hybrid,2,No,No,Drum,796,Manual,5,Power,No,No,No,Yes,No,0,No
0,43,Diesel,6,Yes,Yes,Disc,1493,Automatic,6,Power,Yes,Yes,No,Yes,No,3,Yes
3,47,Hybrid,2,No,No,Drum,998,Manual,5,Power,No,No,No,Yes,No,3,Yes
0,49,Diesel,6,Yes,Yes,Disc,1493,Automatic,6,Power,Yes,Yes,No,Yes,No,1,No
2,48,Diesel,2,Yes,Yes,Drum,1498,Manual,5,Electric,No,Yes,Yes,Yes,No,4,No
2,42,Hybrid,2,No,No,Drum,998,Manual,5,Power,No,No,No,Yes,Yes,1,Yes
3,36,Diesel,2,Yes,Yes,Drum,1498,Manual,5,Electric,No,Yes,Yes,Yes,No,1,Yes
3,35,Petrol,2,Yes,No,Drum,1197,Manual,5,Electric,Yes,Yes,Yes,Yes,No,3,Yes
2,43,Diesel,6,Yes,Yes,Disc,1493,Automatic,6,Power,Yes,Yes,No,Yes,No,3,Yes
3,54,Diesel,6,Yes,Yes,Disc,1493,Automatic,6,Power,Yes,Yes,No,Yes,No,0,Yes
1,39,Petrol,2,Yes,No,Drum,1197,Manual,5,Electric,Yes,Yes,Yes,Yes,No,1,Yes
1,50,Petrol,2,No,Yes,Drum,999,Automatic,5,Electric,No,No,Yes,Yes,No,3,Yes
0,38,Hybrid,2,No,No,Drum,796,Manual,5,Power,No,No,No,Yes,No,3,No
0,41,Hybrid,2,No,No,Drum,796,Manual,5,Power,No,No,No,Yes,No,4,No
1,39,Hybrid,2,No,No,Drum,796,Manual,5,Power,No,No,No,Yes,No,2,No
0,37,Hybrid,2,No,No,Drum,796,Manual,5,Power,No,No,No,Yes,No,2,Yes
3,46,Hybrid,2,No,No,Drum,998,Manual,5,Power,No,No,No,Yes,No,3,Yes
2,37,Diesel,6,Yes,Yes,Disc,1493,Automatic,6,Power,Yes,Yes,No,Yes,No,3,No
0,60,Hybrid,2,No,No,Drum,796,Manual,5,Power,No,No,No,Yes,No,3,No
0,43,Hybrid,2,No,No,Drum,796,Manual,,Power,No,No,No,Yes,No,1,No
0,50,Hybrid,2,No,No,Drum,796,Manual,5,Power,No,No,No,Yes,No,0,Yes
0,42,Hybrid,2,No,No,Drum,796,Manual,5,Power,No,No,No,Yes,No,3,No
1,35,Hybrid,2,No,No,Drum,998,Manual,5,Power,No,No,No,Yes,No,4,Yes
2,48,Petrol,2,Yes,No,Drum,1197,Manual,5,Electric,Yes,Yes,Yes,Yes,No,2,No
3,37,Petrol,2,Yes,No,Drum,1197,Manual,5,Electric,Yes,Yes,Yes,Yes,No,4,Yes
1,49,Diesel,6,Yes,Yes,Disc,1493,Automatic,6,Power,Yes,Yes,No,Yes,No,2,Yes
0,49,Hybrid,2,No,No,Drum,796,Manual,5,Power,No,No,No,Yes,No,3,Yes
3,49,Petrol,2,Yes,No,Drum,1197,Manual,5,Electric,Yes,Yes,Yes,Yes,No,2,No
1,35,Diesel,2,Yes,Yes,Drum,1498,Manual,5,Electric,No,Yes,Yes,Yes,No,4,Yes
3,38,Diesel,2,Yes,Yes,Drum,1498,Manual,5,Electric,No,Yes,Yes,Yes,Yes,1,Yes
5,45,Diesel,6,Yes,Yes,Disc,1493,Automatic,6,Power,Yes,Yes,No,Yes,No,4,Yes
1,58,Petrol,6,Yes,Yes,Drum,1197,Automatic,5,Electric,Yes,Yes,Yes,Yes,No,0,No
0,43,Hybrid,2,No,No,Drum,796,Manual,5,Power,No,No,No,Yes,No,0,Yes
2,36,Petrol,2,Yes,No,Drum,1197,Manual,5,Electric,Yes,Yes,Yes,Yes,No,1,Yes
3,42,Diesel,6,Yes,Yes,Disc,1493,Automatic,6,Power,Yes,Yes,No,Yes,No,1,No
3,46,Petrol,2,Yes,Yes,Drum,1197,Automatic,5,Electric,Yes,Yes,Yes,Yes,No,4,Yes
0,39,Hybrid,2,No,No,Drum,796,Manual,5,Power,No,No,No,Yes,No,0,Yes
0,45,Petrol,2,No,Yes,Drum,999,Automatic,5,Electric,No,No,Yes,Yes,No,0,No
3,35,Diesel,6,Yes,Yes,Disc,1493,Automatic,6,Power,Yes,Yes,No,Yes,No,2,Yes
4,51,Petrol,2,Yes,No,Drum,1197,Manual,5,Electric,Yes,Yes,Yes,Yes,No,1,No
3,51,Diesel,6,Yes,Yes,Disc,1493,Automatic,6,Power,Yes,Yes,No,Yes,No,4,Yes
0,45,Hybrid,2,No,No,Drum,796,Manual,5,Power,No,No,No,Yes,Yes,0,Yes
4,41,Petrol,2,No,Yes,Drum,999,Automatic,5,Electric,No,No,Yes,Yes,No,3,No
3,63,Petrol,2,Yes,No,Drum,1197,Manual,5,Electric,Yes,Yes,Yes,Yes,No,2,No
3,37,Diesel,6,Yes,Yes,Disc,1493,Automatic,6,Power,Yes,Yes,No,Yes,No,1,No
0,43,Petrol,2,Yes,Yes,Drum,1197,Automatic,5,Electric,Yes,Yes,Yes,Yes,No,2,No
4,53,Hybrid,2,No,No,Drum,796,Manual,5,Power,No,No,No,Yes,No,4,Yes
2,37,Petrol,2,Yes,No,Drum,1197,Manual,5,Electric,Yes,Yes,Yes,Yes,No,4,Yes
0,42,Hybrid,2,No,No,Drum,796,Manual,,Power,No,No,No,Yes,No,0,No
2,41,Diesel,6,Yes,Yes,Disc,1493,Automatic,6,Power,Yes,Yes,No,Yes,No,0,No
1,47,Diesel,6,Yes,Yes,Disc,1493,Automatic,6,Power,Yes,Yes,No,Yes,No,1,Yes
2,50,Petrol,2,Yes,No,Drum,1197,Manual,5,Electric,Yes,Yes,Yes,Yes,No,2,Yes
3,38,Hybrid,2,No,No,Drum,998,Manual,5,Power,No,No,No,Yes,No,1,No
1,36,Diesel,6,Yes,Yes,Disc,1493,Automatic,6,Power,Yes,Yes,No,Yes,Yes,2,Yes
5,39,Petrol,2,Yes,No,Drum,1197,Manual,5,Electric,Yes,Yes,Yes,Yes,No,0,Yes
5,41,Diesel,6,Yes,Yes,Disc,1493,Automatic,6,Power,Yes,Yes,No,Yes,Yes,3,No
0,40,Hybrid,2,No,No,Drum,796,Manual,5,Power,No,No,No,Yes,Yes,2,No
6,48,Hybrid,1,No,No,Drum,1196,Manual,5,Manual,No,No,No,Yes,No,2,No
4,35,Diesel,6,Yes,Yes,Disc,1493,Automatic,6,Power,Yes,Yes,No,Yes,No,1,Yes
0,44,Hybrid,2,No,No,Drum,796,Manual,5,Power,No,No,No,Yes,No,0,No
5,48,Diesel,6,Yes,Yes,Disc,1493,Automatic,6,Power,Yes,Yes,No,Yes,No,0,Yes
0,42,Diesel,6,Yes,Yes,Disc,1493,Automatic,6,Power,Yes,Yes,No,Yes,No,1,No
3,53,Petrol,2,Yes,No,Drum,1197,Manual,5,Electric,Yes,Yes,Yes,Yes,No,2,No
1,36,Diesel,6,Yes,Yes,Disc,1493,Automatic,6,Power,Yes,Yes,No,Yes,No,0,Yes
6,37,Petrol,6,Yes,Yes,Drum,1197,Automatic,5,Electric,Yes,Yes,Yes,Yes,Yes,2,No
0,38,Petrol,6,Yes,Yes,Drum,1197,Automatic,5,Electric,Yes,Yes,Yes,Yes,No,4,Yes
3,41,Diesel,6,Yes,Yes,Disc,1493,Automatic,6,Power,Yes,Yes,No,Yes,No,0,Yes
0,60,Petrol,2,Yes,No,Drum,1197,Manual,5,Electric,Yes,Yes,Yes,Yes,No,4,Yes
1,43,Diesel,6,Yes,Yes,Disc,1493,Automatic,6,Power,Yes,Yes,No,Yes,No,1,No
1,38,Diesel,6,Yes,Yes,Disc,1493,Automatic,6,Power,Yes,Yes,No,Yes,No,2,Yes
1,39,Hybrid,2,No,No,Drum,998,Manual,5,Power,No,No,No,Yes,No,3,No
0,55,Hybrid,2,No,No,Drum,796,Manual,5,Power,No,No,No,Yes,No,0,No
2,56,Hybrid,2,No,No,Drum,796,Manual,5,Power,No,No,No,Yes,Yes,0,No
5,39,Petrol,2,Yes,No,Drum,1197,Manual,,Electric,Yes,Yes,Yes,Yes,No,4,Yes
1,35,Hybrid,2,No,No,Drum,998,Manual,5,Power,No,No,No,Yes,No,2,No
1,47,Petrol,2,Yes,No,Drum,1197,Manual,5,Electric,Yes,Yes,Yes,Yes,Yes,0,No
0,52,Hybrid,2,No,No,Drum,796,Manual,5,Power,No,No,No,Yes,No,2,Yes
0,43,Hybrid,2,No,No,Drum,796,Manual,5,Power,No,No,No,Yes,No,3,Yes
0,44,Hybrid,2,No,No,Drum,796,Manual,5,Power,No,No,No,Yes,No,3,No
0,42,Diesel,6,Yes,Yes,Disc,1493,Automatic,6,Power,Yes,Yes,No,Yes,Yes,3,Yes
0,45,Petrol,2,Yes,No,Drum,1197,Manual,5,Electric,Yes,Yes,Yes,Yes,No,1,No
0,45,Petrol,2,Yes,No,Drum,1197,Manual,5,Electric,Yes,Yes,Yes,Yes,No,2,Yes
2,37,Diesel,2,Yes,No,Drum,1497,Manual,5,Electric,No,No,No,Yes,No,0,Yes
3,54,Diesel,6,Yes,Yes,Disc,1493,Automatic,6,Power,Yes,Yes,No,Yes,No,0,Yes
2,39,Petrol,2,Yes,No,Drum,1197,Manual,5,Electric,Yes,Yes,Yes,Yes,No,0,No
4,45,Petrol,2,Yes,No,Drum,1197,Manual,5,Electric,Yes,Yes,Yes,Yes,No,1,Yes
3,48,Diesel,6,Yes,Yes,Disc,1493,Automatic,6,Power,Yes,Yes,No,Yes,No,1,Yes
1,43,Diesel,2,Yes,Yes,Drum,1498,Manual,5,Electric,No,Yes,Yes,Yes,No,2,No
4,41,Petrol,2,Yes,No,Drum,1197,Manual,5,Electric,Yes,Yes,Yes,Yes,No,2,Yes
2,46,Petrol,2,Yes,No,Drum,1197,Manual,5,Electric,Yes,Yes,Yes,Yes,No,4,Yes
1,37,Diesel,6,Yes,Yes,Disc,1493,Automatic,6,Power,Yes,Yes,No,Yes,No,0,Yes
0,50,Diesel,6,Yes,Yes,Disc,1493,Automatic,6,Power,Yes,Yes,No,Yes,No,1,Yes
1,67,Hybrid,2,No,No,Drum,998,Manual,5,Power,No,No,No,Yes,Yes,3,No
3,42,Petrol,2,Yes,No,Drum,1197,Manual,5,Electric,Yes,Yes,Yes,Yes,No,3,Yes
0,39,Hybrid,2,No,No,Drum,796,Manual,,Power,No,No,No,Yes,No,2,No
6,43,Petrol,2,Yes,No,Drum,1197,Manual,5,Electric,Yes,Yes,Yes,Yes,No,3,No
3,54,Diesel,6,Yes,Yes,Disc,1493,Automatic,6,Power,Yes,Yes,No,Yes,No,1,No
1,44,Hybrid,2,No,No,Drum,998,Manual,5,Power,No,No,No,Yes,No,4,No
0,46,Petrol,2,Yes,No,Drum,1197,Manual,5,Electric,Yes,Yes,Yes,Yes,No,4,Yes
2,49,Petrol,2,Yes,No,Drum,1197,Manual,5,Electric,Yes,Yes,Yes,Yes,No,0,No
3,46,Petrol,6,Yes,Yes,Drum,1197,Automatic,5,Electric,Yes,Yes,Yes,Yes,No,4,No
4,45,Hybrid,2,No,No,Drum,796,Manual,5,Power,No,No,No,Yes,No,2,Yes
0,48,Hybrid,2,No,No,Drum,796,Manual,5,Power,No,No,No,Yes,No,3,Yes
1,38,Hybrid,2,No,No,Drum,998,Manual,5,Power,No,No,No,Yes,No,2,Yes
2,37,Diesel,6,Yes,Yes,Disc,1493,Automatic,6,Power,Yes,Yes,No,Yes,No,3,Yes
0,53,Petrol,2,Yes,No,Drum,1197,Manual,5,Electric,Yes,Yes,Yes,Yes,No,0,Yes
2,52,Hybrid,2,No,No,Drum,796,Manual,5,Power,No,No,No,Yes,Yes,3,No
1,44,Hybrid,2,No,No,Drum,796,Manual,5,Power,No,No,No,Yes,No,0,Yes
6,43,Hybrid,2,No,No,Drum,796,Manual,5,Power,No,No,No,Yes,No,0,Yes
0,40,Petrol,2,Yes,No,Drum,1197,Manual,5,Electric,Yes,Yes,Yes,Yes,No,0,No
3,65,Petrol,2,Yes,No,Drum,1197,Manual,5,Electric,Yes,Yes,Yes,Yes,No,4,No
6,37,Diesel,6,Yes,Yes,Disc,1493,Automatic,6,Power,Yes,Yes,No,Yes,No,2,Yes
0,38,Diesel,2,Yes,No,Drum,1497,Manual,5,Electric,No,No,No,Yes,No,2,No
0,46,Hybrid,1,No,No,Drum,1196,Manual,5,Manual,No,No,No,Yes,No,1,No
0,49,Hybrid,2,No,No,Drum,998,Manual,5,Power,No,No,No,Yes,No,4,No
1,50,Petrol,2,Yes,No,Drum,1197,Manual,5,Electric,Yes,Yes,Yes,Yes,No,0,Yes
5,41,Diesel,6,Yes,Yes,Disc,1493,Automatic,6,Power,Yes,Yes,No,Yes,No,2,No
4,50,Diesel,6,Yes,Yes,Disc,1493,Automatic,6,Power,Yes,Yes,No,Yes,No,0,Yes
0,41,Petrol,2,Yes,No,Drum,1197,Manual,5,Electric,Yes,Yes,Yes,Yes,No,3,Yes
0,56,Diesel,6,Yes,Yes,Disc,1493,Automatic,6,Power,Yes,Yes,No,Yes,Yes,0,No
3,49,Diesel,6,Yes,Yes,Disc,1493,Automatic,6,Power,Yes,Yes,No,Yes,No,3,No
1,48,Petrol,6,Yes,Yes,Drum,1197,Automatic,5,Electric,Yes,Yes,Yes,Yes,Yes,1,Yes
0,39,Hybrid,2,No,No,Drum,998,Manual,5,Power,No,No,No,Yes,No,0,No
0,46,Hybrid,2,No,No,Drum,796,Manual,5,Power,No,No,No,Yes,No,3,No
3,41,Diesel,6,Yes,Yes,Disc,1493,Automatic,,Power,Yes,Yes,No,Yes,No,4,No
1,39,Diesel,6,Yes,Yes,Disc,1493,Automatic,6,Power,Yes,Yes,No,Yes,No,4,No
3,46,Hybrid,2,No,No,Drum,796,Manual,5,Power,No,No,No,Yes,No,0,Yes
0,57,Diesel,6,Yes,Yes,Disc,1493,Automatic,6,Power,Yes,Yes,No,Yes,No,2,No
0,46,Hybrid,2,No,No,Drum,796,Manual,5,Power,No,No,No,Yes,No,3,Yes
2,45,Petrol,6,Yes,Yes,Drum,1197,Automatic,5,Electric,Yes,Yes,Yes,Yes,No,2,Yes
4,41,Petrol,2,Yes,No,Drum,1197,Manual,5,Electric,Yes,Yes,Yes,Yes,No,3,No
0,50,Hybrid,2,No,No,Drum,796,Manual,5,Power,No,No,No,Yes,No,4,No
1,46,Petrol,2,Yes,No,Drum,1197,Manual,5,Electric,Yes,Yes,Yes,Yes,No,2,Yes
1,53,Petrol,2,Yes,No,Drum,1197,Manual,5,Electric,Yes,Yes,Yes,Yes,No,0,No
0,56,Hybrid,2,No,No,Drum,796,Manual,5,Power,No,No,No,Yes,No,3,No
2,46,Diesel,6,Yes,Yes,Disc,1493,Automatic,6,Power,Yes,Yes,No,Yes,No,0,No
4,45,Petrol,2,No,Yes,Drum,999,Automatic,5,Electric,No,No,Yes,Yes,No,4,No
0,36,Hybrid,2,No,No,Drum,796,Manual,5,Power,No,No,No,Yes,No,0,No
1,37,Petrol,2,No,Yes,Drum,999,Automatic,5,Electric,No,No,Yes,Yes,No,1,No
0,39,Hybrid,2,No,No,Drum,796,Manual,5,Power,No,No,No,Yes,No,0,No
1,37,Petrol,2,Yes,No,Drum,1197,Manual,5,Electric,Yes,Yes,Yes,Yes,No,0,No
0,48,Diesel,6,Yes,Yes,Disc,1493,Automatic,6,Power,Yes,Yes,No,Yes,No,1,No
